,crime,number,date,location,beat,neighborhood,npu,lat,long
3910,AUTO THEFT,112980862,10/25/2011,555 JOSEPH E BOONE BLVD NW,103,English Avenue,L,33.76363,-84.40564
3911,AUTO THEFT,112980870,10/25/2011,1200 GLENWOOD AVE SE,612,East Atlanta,W,33.74052,-84.34797
3912,LARCENY-NON VEHICLE,112980911,10/25/2011,3500 MARTIN L KING JR DR SW,407,Adamsville,H,33.75735,-84.50282
3913,BURGLARY-RESIDENCE,112980931,10/25/2011,2530 OMAHA RD SW,413,Arlington Estates,P,33.69108,-84.54404
3914,BURGLARY-RESIDENCE,112980977,10/25/2011,694 QUAKER ST SW,309,Perkerson,X,33.68565,-84.41124
3915,AUTO THEFT,112980979,10/25/2011,3334 PEACHTREE RD NE,208,North Buckhead,B,33.84911,-84.37075
3916,LARCENY-NON VEHICLE,112981009,10/25/2011,129 NORTH AVE,504,Downtown,M,33.77103,-84.38318
3917,LARCENY-FROM VEHICLE,112981019,10/25/2011,1754 RICHMOND CIR SE;,307,Lakewood Heights,Y,33.70698,-84.3745
3918,BURGLARY-RESIDENCE,112981027,10/25/2011,944 WALKER AVE SE,607,Ormewood Park,W,33.72877,-84.35924
3919,LARCENY-NON VEHICLE,112981041,10/25/2011,149 CANDLER ROAD S.E.,611,East Lake,O,33.74848,-84.2926
3920,LARCENY-NON VEHICLE,112981049,10/25/2011,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773
3921,LARCENY-NON VEHICLE,112981074,10/25/2011,875 HANK AARON DR SW,304,Peoplestown,V,33.73157,-84.38925
3922,BURGLARY-RESIDENCE,112981086,10/25/2011,1304 BOULEVARD LORRAINE SW,409,Adams Park,R,33.72009,-84.4575
3923,LARCENY-NON VEHICLE,112981090,10/25/2011,3804 MARTIN LUTHER KING  JR. DRIVE,114,Old Gordon,H,33.768,-84.51441
3924,BURGLARY-RESIDENCE,112981091,10/25/2011,619 GLENWOOD AVE SE,605,Grant Park,W,33.74232,-84.36721
3925,ROBBERY-PEDESTRIAN,112981116,10/25/2011,1599 MEMORIAL DR SE,610,Kirkwood,O,33.74614,-84.33607
3926,LARCENY-FROM VEHICLE,112981127,10/25/2011,768 MARIETTA ST NW,504,Marietta Street Artery,E,33.77331,-84.40403
3927,BURGLARY-RESIDENCE,112981196,10/25/2011,739 BONAVENTURE AVE NE,601,Virginia Highland,F,33.77478,-84.36086
3928,AGG ASSAULT,112981205,10/25/2011,410 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.7061,-84.35817
3929,BURGLARY-RESIDENCE,112981216,10/25/2011,3200 STONE RD SW,411,Greenbriar,R,33.6697,-84.49403
3930,LARCENY-NON VEHICLE,112981226,10/25/2011,60 WALTON STREET,508,Downtown,M,33.75615,-84.39066
3931,AGG ASSAULT,112981242,10/25/2011,48 BROAD ST SW,511,Downtown,M,33.75283,-84.39232
3932,BURGLARY-RESIDENCE,112981246,10/25/2011,3755 PEACHTREE RD NE,210,Ridgedale Park,B,33.85649,-84.34973
3933,LARCENY-NON VEHICLE,112981261,10/25/2011,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773
3934,LARCENY-NON VEHICLE,112981280,10/25/2011,3500 PEACHTREE RD NE,208,North Buckhead,B,33.85302,-84.36278
3935,LARCENY-NON VEHICLE,112981303,10/25/2011,595 PIEDMONT AVE NE,603,Old Fourth Ward,M,33.77067,-84.38023
3936,ROBBERY-PEDESTRIAN,112981304,10/25/2011,4100 BAKERS FERRY RD SW ,407,Baker Hills,H,33.75451,-84.52178
3937,BURGLARY-RESIDENCE,112981308,10/25/2011,1371 KIMBERLY RD SW,412,Ashley Courts,P,33.71871,-84.52137
3938,BURGLARY-RESIDENCE,112981318,10/25/2011,493 CHAPPELL RD NW,106,Bankhead,K,33.76875,-84.43316
3939,LARCENY-NON VEHICLE,112981339,10/25/2011,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
3940,LARCENY-FROM VEHICLE,112981355,10/25/2011,1000 NORTHSIDE DR NW,501,Home Park,E,33.78196,-84.40835
3941,BURGLARY-RESIDENCE,112981370,10/25/2011,164 RICHARDSON ST SE,304,Summerhill,V,33.74099,-84.38227
3942,LARCENY-NON VEHICLE,112981378,10/25/2011,2525 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.824,-84.36521
3943,LARCENY-NON VEHICLE,112981435,10/25/2011,330 BROWNLEE RD SW,406,,I,33.74739,-84.49619
3944,BURGLARY-RESIDENCE,112981463,10/25/2011,194 WELLINGTON ST SW,104,Mozley Park,K,33.74998,-84.438
3945,LARCENY-FROM VEHICLE,112981473,10/25/2011,1450 PONCE DE LEON AVE NE,608,Druid Hills,N,33.77521,-84.33956
3946,LARCENY-NON VEHICLE,112981511,10/25/2011,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68677,-84.49773
3947,LARCENY-NON VEHICLE,112981512,10/25/2011,630 ETHERIDGE ST NW,106,Bankhead,K,33.77167,-84.42153
3948,LARCENY-NON VEHICLE,112981530,10/25/2011,3760 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65806,-84.51051
3949,BURGLARY-RESIDENCE,112981555,10/25/2011,254 AMAL DR SW,307,Betmar LaVilla,Y,33.70591,-84.39641
3950,LARCENY-FROM VEHICLE,112981609,10/25/2011,1155 LAVISTA RD NE,212,Lindridge/Martin Manor,F,33.81806,-84.35082
3951,AGG ASSAULT,112981615,10/25/2011,662 IRA ST SW,303,Mechanicsville,V,33.73677,-84.39985
3952,LARCENY-NON VEHICLE,112981616,10/25/2011,3500 PEACHTREE RD,208,North Buckhead,B,33.85302,-84.36278
3953,ROBBERY-PEDESTRIAN,112981619,10/25/2011,1333 WHITE ST SW,402,West End,T,33.73805,-84.43028
3954,ROBBERY-PEDESTRIAN,112981620,10/25/2011,184 WEST LAKE AVE NW,105,West Lake,J,33.76048,-84.44312
3955,LARCENY-FROM VEHICLE,112981640,10/25/2011,82 WESTMINSTER DRIVE,502,Ansley Park,E,33.79165,-84.37984
3956,BURGLARY-RESIDENCE,112981650,10/25/2011,401 INMAN ST SW,404,Westview,T,33.74424,-84.43759
3957,AUTO THEFT,112981664,10/25/2011,500 MEANS ST NW,504,Marietta Street Artery,E,33.77235,-84.40407
3958,ROBBERY-PEDESTRIAN,112981679,10/25/2011,91 BROAD ST SW,512,Downtown,M,33.7521,-84.39319
3959,AUTO THEFT,112981714,10/25/2011,396 MATHEWSON PL SW,404,Westview,T,33.74438,-84.43599
3960,LARCENY-FROM VEHICLE,112981737,10/25/2011,324 SPRING ST NW ,508,Downtown,M,33.76349,-84.38925
3961,LARCENY-NON VEHICLE,112981740,10/25/2011,4304 NOTTING HILL DR SW,413,Arlington Estates,P,33.69498,-84.53492
3962,LARCENY-FROM VEHICLE,112981766,10/25/2011,2476 SANTA ROSA DR SW,413,Arlington Estates,P,33.68794,-84.54065
3963,LARCENY-NON VEHICLE,112981770,10/25/2011,555 MCDANIEL ST SW,303,Mechanicsville,V,33.7404,-84.4026
3964,ROBBERY-PEDESTRIAN,112981783,10/25/2011,540 CAMERON M ALEXANDER BLVD NW ,103,English Avenue,L,33.7682,-84.40484
3965,LARCENY-NON VEHICLE,112981797,10/25/2011,526 W WESLEY RD NW,205,Peachtree Battle Alliance,C,33.82831,-84.40495
3966,LARCENY-NON VEHICLE,112981799,10/25/2011,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
3967,BURGLARY-RESIDENCE,112981941,10/25/2011,2666 IVYDALE CT SW,410,Campbellton Road,R,33.69958,-84.47607
3968,LARCENY-FROM VEHICLE,112982055,10/25/2011,339 NELSON ST SW,507,Castleberry Hill,M,33.75149,-84.39906
3969,ROBBERY-PEDESTRIAN,112982105,10/25/2011,552 ROCKWELL ST SW,302,Pittsburgh,V,33.73173,-84.40576
3970,LARCENY-FROM VEHICLE,112982111,10/25/2011,482 EDGEWOOD AVE NE,604,Old Fourth Ward,M,33.75447,-84.37183
3971,BURGLARY-RESIDENCE,112982143,10/25/2011,501 DARGAN PL SW,401,West End,T,33.74135,-84.42555
3972,ROBBERY-PEDESTRIAN,112982154,10/25/2011,2618 SANTA MONICA DR NW,112,Collier Heights,I,33.76596,-84.47355
3973,ROBBERY-PEDESTRIAN,112982166,10/25/2011,712 SHELTON AVE SW,301,Adair Park,V,33.73406,-84.41113
3974,AGG ASSAULT,112982250,10/25/2011,79 JACKSON ST NE,604,Sweet Auburn,M,33.75637,-84.37423
3975,ROBBERY-PEDESTRIAN,112982299,10/25/2011,205 7TH ST NE,505,Midtown,E,33.77818,-84.38043
3976,LARCENY-FROM VEHICLE,112982318,10/25/2011,626 DEKALB AVE SE,604,Old Fourth Ward,M,33.75283,-84.36687
3977,LARCENY-NON VEHICLE,112988017,10/25/2011,5952 SPINE RD,703,,,33.64068,-84.44204
3978,LARCENY-NON VEHICLE,112971787,10/25/2011,200 CENTINNIAL OLYMPIC PARK DRIVE,508,Downtown,M,33.76113,-84.39313
3979,LARCENY-FROM VEHICLE,112942361,10/25/2011,3535 PEACHTREE RD,210,Lenox,B,33.85182,-84.3595
3980,LARCENY-NON VEHICLE,112951844,10/25/2011,1333 LA FRANCE ST NE,609,Edgewood,O,33.76006,-84.34391
3981,LARCENY-NON VEHICLE,112971324,10/25/2011, 210 WALKER STREET SW,507,Castleberry Hill,M,33.74875,-84.40194
3982,LARCENY-NON VEHICLE,112970794,10/25/2011,2535 CHANTILLY DRIVE,212,Old Fourth Ward,M,33.77326,-84.36889
3983,LARCENY-NON VEHICLE,112970839,10/24/2011,55 MAPLE ST NW,102,Vine City,L,33.75569,-84.40528
3984,BURGLARY-RESIDENCE,112970886,10/24/2011,556 WOODLAWN AVE NW,107,Grove Park,J,33.77008,-84.43626
3985,BURGLARY-RESIDENCE,112970902,10/24/2011,1024 EMERSON AVE SE,607,Ormewood Park,W,33.73291,-84.3542
3986,BURGLARY-RESIDENCE,112970904,10/24/2011,1656 MELROSE DR SW,306,Sylvan Hills,X,33.7098,-84.42133
3987,BURGLARY-RESIDENCE,112970938,10/24/2011,837 BERNE ST SE,605,Grant Park,W,33.73636,-84.3601
3988,LARCENY-NON VEHICLE,112970939,10/24/2011,91 PEACHTREE ST NE ;WOODRUFF PARK,510,Downtown,M,33.75595,-84.38854
3989,LARCENY-NON VEHICLE,112970948,10/24/2011,216 CITYLANE AVE NE,603,Old Fourth Ward,M,33.77024,-84.3783
3990,LARCENY-FROM VEHICLE,112970958,10/24/2011,686 CHICKADEE CT SW,406,Audobon Forest,I,33.7347,-84.47147
3991,BURGLARY-NONRES,112970971,10/24/2011,1281 EASTRIDGE RD SW,408,Venetian Hills,S,33.72036,-84.44523
3992,LARCENY-NON VEHICLE,112970978,10/24/2011,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
3993,BURGLARY-RESIDENCE,112970990,10/24/2011,2330 FAIRWAY CIR SW,413,Fairway Acres,P,33.68871,-84.53643
3994,LARCENY-NON VEHICLE,112971032,10/24/2011,3855 RUBY H HARPER BLVD SE,313,Blair Villa/Poole Creek,Z,33.649,-84.38047
3995,LARCENY-NON VEHICLE,112971043,10/24/2011,683 JOSEPH E LOWERY BLVD SW ;BIG BEAR,401,West End,T,33.73646,-84.41838
3996,BURGLARY-NONRES,112971048,10/24/2011,1975 ALISON CT SW,410,Campbellton Road,R,33.70134,-84.45343
3997,AUTO THEFT,112971068,10/24/2011,1785 PINEDALE DR NW,107,Grove Park,J,33.76651,-84.44589
3998,BURGLARY-RESIDENCE,112971074,10/24/2011,471 HEMLOCK CIR SE,606,Ormewood Park,W,33.74111,-84.35153
3999,BURGLARY-RESIDENCE,112971077,10/24/2011,3465 PARC DR.  SW,409,Southwest,R,33.69936,-84.4972
4000,BURGLARY-NONRES,112971090,10/24/2011,1161 RIDGE AVE SW,304,Peoplestown,V,33.72263,-84.3891
4001,LARCENY-NON VEHICLE,112971103,10/24/2011,2410 CAMELLIA LN NE,211,Lindbergh/Morosgo,B,33.82162,-84.37153
4002,BURGLARY-RESIDENCE,112971111,10/24/2011,617 ELINOR PL NW,110,Grove Park,J,33.77178,-84.43589
4003,LARCENY-NON VEHICLE,112971115,10/24/2011,3201 MARTIN L KING JR DR NW,111,,I,33.75428,-84.49165
4004,LARCENY-FROM VEHICLE,112971121,10/24/2011,265 PONCE DE LEON AVE NE,505,Midtown,E,33.77206,-84.37869
4005,LARCENY-NON VEHICLE,112971145,10/24/2011,3393 PEACHTREE RD NE ,210,Lenox,B,33.84676,-84.36212
4006,LARCENY-NON VEHICLE,112971163,10/24/2011,3500 PEACHTREE RD NE,208,North Buckhead,B,33.85248,-84.36058
4007,LARCENY-FROM VEHICLE,112971164,10/24/2011,2277 PEACHTREE RD NE,211,,E,33.81595,-84.39051
4008,LARCENY-FROM VEHICLE,112971181,10/24/2011,1529 PIEDMONT AVE NE,213,Morningside/Lenox Park,F,33.79625,-84.36946
4009,LARCENY-NON VEHICLE,112971184,10/24/2011,2280 BROWNS MILL RD SE;,310,Lakewood,Z,33.69069,-84.37363
4010,LARCENY-NON VEHICLE,112971256,10/24/2011,48 NORTHSIDE DR SW,507,Castleberry Hill,M,33.75327,-84.40271
4011,BURGLARY-RESIDENCE,112971293,10/24/2011,2270 BAGWELL DR SW,310,Polar Rock,Z,33.69247,-84.39813
4012,AUTO THEFT,112971327,10/24/2011,222 TUSKEGEE ST SE,304,Peoplestown,V,33.72856,-84.38064
4013,AGG ASSAULT,112971348,10/24/2011,1429 METROPOLITAN PKWY SW,301,Capitol View,X,33.71582,-84.40815
4014,LARCENY-NON VEHICLE,112971369,10/24/2011,3610 GINNIS RD SW,407,Fairburn Mays,H,33.7315,-84.51129
4015,LARCENY-FROM VEHICLE,112971375,10/24/2011,BROAD ST NW / MARIETTA ST NW,508,Downtown,M,33.75492,-84.39054
4016,LARCENY-NON VEHICLE,112971376,10/24/2011,1197 PEACHTREE ST NE,502,Midtown,E,33.78742,-84.38333
4017,BURGLARY-RESIDENCE,112971388,10/24/2011,1514 NORTHWEST DR NW,113,Monroe Heights,G,33.79806,-84.48705
4018,LARCENY-NON VEHICLE,112971415,10/24/2011,2591 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82494,-84.36684
4019,LARCENY-NON VEHICLE,112971417,10/24/2011,580 MCDONOUGH BLVD SE,305,Chosewood Park,Y,33.71392,-84.36899
4020,BURGLARY-RESIDENCE,112971443,10/24/2011,385 NEW JERSEY AVE NW,107,Grove Park,J,33.76567,-84.45569
4021,AUTO THEFT,112971457,10/24/2011,117 PEACHTREE ST SW,512,Downtown,M,33.75161,-84.39297
4022,BURGLARY-NONRES,112971464,10/24/2011,1026 LESTER AVE SE,607,Boulevard Heights,W,33.72646,-84.36038
4023,LARCENY-NON VEHICLE,112971472,10/24/2011,415 MORGAN PL SE,611,East Lake,O,33.741,-84.29064
4024,LARCENY-NON VEHICLE,112971473,10/24/2011,357 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75417,-84.37595
4025,ROBBERY-PEDESTRIAN,112971475,10/24/2011,204 MOURY AVE SW,305,South Atlanta,Y,33.71907,-84.39329
4026,BURGLARY-RESIDENCE,112971487,10/24/2011,2328 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70439,-84.4634
4027,BURGLARY-RESIDENCE,112971489,10/24/2011,2194 MARTIN L KING JR DR SW,405,Florida Heights,I,33.75177,-84.4636
4028,LARCENY-FROM VEHICLE,112971538,10/24/2011,781 PONCE DE LEON PL NE,601,Virginia Highland,F,33.77585,-84.36316
4029,LARCENY-NON VEHICLE,112971574,10/24/2011,236 AUBURN AVE NE,510,Downtown,M,33.75562,-84.37991
4030,LARCENY-NON VEHICLE,112971584,10/24/2011,439 EDGEWOOD AVE SE,604,Sweet Auburn,M,33.75415,-84.37313
4031,LARCENY-NON VEHICLE,112971585,10/24/2011,60 COCA COLA PL SE,510,Downtown,M,33.75306,-84.3798
4032,LARCENY-NON VEHICLE,112971586,10/24/2011,333 EDGEWOOD AVE SE,604,Downtown,M,33.7544,-84.3881
4033,LARCENY-NON VEHICLE,112971589,10/24/2011,140 MITCHELL ST SW,512,Downtown,M,33.7504,-84.39254
4034,LARCENY-NON VEHICLE,112971590,10/24/2011,44 PRYOR ST SE,511,Downtown,M,33.75328,-84.38948
4035,BURGLARY-RESIDENCE,112971614,10/24/2011,1854 LAKEWOOD TER SE,307,Lakewood Heights,Y,33.70308,-84.37982
4036,AUTO THEFT,112971634,10/24/2011,1400 W PEACHTREE ST NW,502,Midtown,E,33.79278,-84.38808
4037,AUTO THEFT,112971637,10/24/2011,369 MCDANIEL ST SW,101,The Villages at Castleberry H,T,33.74505,-84.40523
4038,LARCENY-FROM VEHICLE,112971654,10/24/2011,1982 LOIS PL NW,110,Grove Park,J,33.78399,-84.45335
4039,ROBBERY-PEDESTRIAN,112971662,10/24/2011,1176 MEMORIAL  DR,609,Edgewood,O,33.74784,-84.34875
4040,LARCENY-FROM VEHICLE,112971713,10/24/2011,2798 PEEK RD NW,112,Collier Heights,I,33.77743,-84.47815
4041,LARCENY-NON VEHICLE,112971729,10/24/2011,240 NORTH AVE NE,505,Midtown,E,33.77134,-84.37932
4042,LARCENY-NON VEHICLE,112971742,10/24/2011,275 PRYOR ST SW,512,Downtown,M,33.74747,-84.39415
4043,LARCENY-FROM VEHICLE,112970036,10/24/2011,925 GARRETT ST SE,606,Ormewood Park,W,33.7404,-84.35787
4044,AUTO THEFT,112970043,10/24/2011,851 WOODBOURNE DR SW,306,Sylvan Hills,X,33.71007,-84.4165
4045,LARCENY-NON VEHICLE,112970055,10/24/2011,1975 CAMPBELLTON RD SW,408,Venetian Hills,S,33.70827,-84.45385
4046,LARCENY-FROM VEHICLE,112970217,10/24/2011,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.77795,-84.40849
4047,AGG ASSAULT,112970315,10/24/2011,880 BRIARCLIFF TER NE ,601,Virginia Highland,F,33.77844,-84.35062
4048,AUTO THEFT,112970330,10/24/2011,443 PONCE DE LEON AVE NE,603,Old Fourth Ward,M,33.77313,-84.37247
4049,AUTO THEFT,112970341,10/24/2011,1960 RAMBLING DR SW,306,Sylvan Hills,X,33.70056,-84.40509
4050,AUTO THEFT,112970342,10/24/2011,3030 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68066,-84.49371
4051,LARCENY-FROM VEHICLE,112970363,10/24/2011,233 PETERS ST SW,507,Castleberry Hill,M,33.74844,-84.40102
4052,LARCENY-FROM VEHICLE,112970404,10/24/2011,1049 CUSTER AVE SE @APS IMAGINE CHR,607,Custer/McDonough/Guice,W,33.71565,-84.35464
4053,AUTO THEFT,112970426,10/24/2011,751 FAIRBURN RD SW,407,Fairburn Mays,H,33.73454,-84.51059
4054,LARCENY-FROM VEHICLE,112970439,10/24/2011,710 FLAMINGO DR SW,406,Audobon Forest,I,33.73585,-84.47015
4055,LARCENY-FROM VEHICLE,112970445,10/24/2011,2898 RENFRO DR NW,112,Collier Heights,I,33.76762,-84.47272
4056,LARCENY-NON VEHICLE,112970473,10/24/2011,600 BRONNER BROS WAY SW,302,Pittsburgh,V,33.73692,-84.40671
4057,LARCENY-FROM VEHICLE,112970493,10/24/2011,1149 AUSTIN AVE NE,602,Inman Park,N,33.7616,-84.35014
4058,BURGLARY-RESIDENCE,112970523,10/24/2011,3675 ZIP INDUSTRIAL BLVD SE,313,Blair Villa/Poole Creek,Z,33.65697,-84.38717
4059,BURGLARY-NONRES,112970540,10/24/2011,1576 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.7716,-84.44024
4060,LARCENY-FROM VEHICLE,112970552,10/24/2011,184 ADELINE AVE NW,108,Dixie Hills,J,33.75951,-84.4494
4061,LARCENY-FROM VEHICLE,112970577,10/24/2011,1361 MIDDLESEX AVE NE,213,Morningside/Lenox Park,F,33.79175,-84.36293
4062,LARCENY-NON VEHICLE,112970588,10/24/2011,1340 BOULEVARD SE,607,Benteen Park,W,33.71811,-84.36842
4063,LARCENY-FROM VEHICLE,112970591,10/24/2011,2632 SANTA BARBARA DR NW,112,Collier Heights,I,33.76517,-84.474
4064,LARCENY-FROM VEHICLE,112970602,10/24/2011,710 PEACHTREE ST NE,505,Midtown,E,33.77411,-84.38484
4065,LARCENY-FROM VEHICLE,112970605,10/24/2011,2171 PEACHTREE RD NE,207,,E,33.81347,-84.39228
4066,AGG ASSAULT,112970624,10/24/2011,1957 MYRTLE DR SW,410,Campbellton Road,R,33.70164,-84.45538
4067,AUTO THEFT,112970666,10/24/2011,370 NORTHSIDE DR NW,103,English Avenue,L,33.76507,-84.4042
4068,BURGLARY-RESIDENCE,112970686,10/24/2011,2125 JOSEPH E BOONE BLVD NW,108,Center Hill,J,33.76494,-84.45723
4069,BURGLARY-RESIDENCE,112970699,10/24/2011,1168 FAYETTEVILLE RD SE,612,East Atlanta,W,33.72231,-84.32802
4070,LARCENY-FROM VEHICLE,112970704,10/24/2011,595 NORTH AVENUE,603,Old Fourth Ward,M,33.77103,-84.36719
4071,LARCENY-NON VEHICLE,112970707,10/24/2011,714 MORELAND AVE SE,612,East Atlanta,W,33.73477,-84.34883
4072,LARCENY-NON VEHICLE,112970741,10/24/2011,242 FORSYTH ST SW,512,Downtown,M,33.74799,-84.39704
4073,BURGLARY-RESIDENCE,112970761,10/24/2011,1571 DEAUVILLE CT NW,110,Carver Hills,G,33.79813,-84.45657
4074,LARCENY-FROM VEHICLE,112970780,10/24/2011,1415 PINEHURST,408,Venetian Hills,S,33.71692,-84.45194
4075,LARCENY-FROM VEHICLE,112970790,10/24/2011,1474 VENETIAN ,408,Venetian Hills,S,33.71437,-84.43692
4076,LARCENY-NON VEHICLE,112950868,10/24/2011,265 PEACHTREE STREET NE,509,Downtown,M,33.76152,-84.38672
4077,LARCENY-NON VEHICLE,112931609,10/24/2011,349 DECATUR STREET,604,Sweet Auburn,M,33.74993,-84.37706
4078,LARCENY-FROM VEHICLE,122981533,10/24/2011,95 MARTIN L KING JR DR,511,Downtown,M,33.75161,-84.39112
4079,BURGLARY-RESIDENCE,112971836,10/24/2011,452 E ONTARIO AVE SW,404,Westview,T,33.74289,-84.43792
4080,LARCENY-FROM VEHICLE,112971886,10/24/2011,1874 PEACHTREE RD NW,207,Ardmore,E,33.80624,-84.3944
4081,LARCENY-FROM VEHICLE,112971907,10/24/2011,1745 PEACHTREE ST NE,207,Brookwood Hills,E,33.8018,-84.39187
4082,LARCENY-NON VEHICLE,112971963,10/24/2011,1200 SPRING ST NW ,502,Midtown,E,33.78741,-84.3896
4083,AGG ASSAULT,112971971,10/24/2011,4372 KIMBALL RD SW,413,Elmco Estates,P,33.68871,-84.53132
4084,LARCENY-NON VEHICLE,112971972,10/24/2011,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
4085,AUTO THEFT,112971983,10/24/2011,1049 HAMPTON ST NW,501,Home Park,E,33.7834,-84.40661
4086,LARCENY-NON VEHICLE,112971989,10/24/2011,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595
4087,BURGLARY-RESIDENCE,112972013,10/24/2011,600 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74662,-84.40755
4088,AGG ASSAULT,112972025,10/24/2011,1045 ASTOR AVE SW,306,Sylvan Hills,X,33.70169,-84.42276
4089,LARCENY-NON VEHICLE,112972070,10/24/2011,500 10TH ST NE,502,,E,33.78186,-84.373
4090,LARCENY-FROM VEHICLE,112972089,10/24/2011,95 MARTIN L KING JR DR SW,511,Downtown,M,33.75161,-84.39112
4091,BURGLARY-RESIDENCE,112972105,10/24/2011,382 YONKERS AVE NW,107,Grove Park,J,33.76555,-84.4548
4092,LARCENY-NON VEHICLE,112972158,10/24/2011,2640 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70252,-84.47475
4093,AGG ASSAULT,112972180,10/24/2011,1152 MERRILL AVE SW,402,Oakland City,S,33.72848,-84.42551
4094,LARCENY-FROM VEHICLE,112972189,10/24/2011,3652 ROSWELL RD NW,202,Tuxedo Park,A,33.85409,-84.38301
4095,BURGLARY-NONRES,112972264,10/24/2011,2025 JONESBORO RD SE @APS DOBBS ES,310,Lakewood,Z,33.69828,-84.37248
4096,ROBBERY-RESIDENCE,112972280,10/24/2011,2406 1ST ST NW,110,Scotts Crossing,G,33.80436,-84.46747
4097,LARCENY-FROM VEHICLE,112972299,10/24/2011,3833 PRINCETON LAKES CT SW,414,Princeton Lakes,P,33.65738,-84.51309
4098,LARCENY-NON VEHICLE,112972320,10/24/2011,361 PARKWAY DR NE,603,Old Fourth Ward,M,33.7643,-84.37323
4099,LARCENY-NON VEHICLE,112971747,10/24/2011,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
4100,LARCENY-NON VEHICLE,112971750,10/24/2011,1185 COLLIER RD NW,204,,C,33.81136,-84.4253
4101,BURGLARY-RESIDENCE,112971762,10/24/2011,1776 S GORDON ST SW,404,Westview,T,33.73915,-84.44591
4102,LARCENY-FROM VEHICLE,112952353,10/23/2011,490 LEE ST. ,101,Harris Chiles,T,33.7419,-84.41764
4103,LARCENY-FROM VEHICLE,112952487,10/23/2011,225 COURTLAND STREET,509,Downtown,M,33.76094,-84.38418
4104,LARCENY-NON VEHICLE,112952498,10/23/2011,720 WESTVIEW DR SW,101,Atlanta University Center,T,33.74583,-84.41442
4105,LARCENY-FROM VEHICLE,112960037,10/23/2011,646 LINDBERGH WAY NE,211,Lindbergh/Morosgo,B,33.82072,-84.367
4106,AUTO THEFT,112960045,10/23/2011,3760 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65806,-84.51051
4107,LARCENY-FROM VEHICLE,112960105,10/23/2011,207 PEACHTREE CENTER AVE NE,509,Downtown,M,33.7602,-84.38554
4108,AUTO THEFT,112960149,10/23/2011,3379 STONE RD SW,414,,P,33.67304,-84.50104
4109,LARCENY-FROM VEHICLE,112960150,10/23/2011,342 MARIETTA ST NW,507,Downtown,M,33.76234,-84.39683
4110,LARCENY-NON VEHICLE,112960169,10/23/2011,1980 DELOWE DR SW,410,Campbellton Road,R,33.70121,-84.45724
4111,LARCENY-FROM VEHICLE,112960170,10/23/2011,2001 SYLVAN RD SW,306,Sylvan Hills,X,33.69983,-84.42008
4112,LARCENY-FROM VEHICLE,112960172,10/23/2011,6TH ST NE / PEACHTREE ST NE,505,Midtown,E,33.77742,-84.38417
4113,BURGLARY-RESIDENCE,112960190,10/23/2011,3757 STAMFORD RD SW,407,Wisteria Gardens,H,33.75611,-84.51075
4114,BURGLARY-RESIDENCE,112960191,10/23/2011,3584 COLLIER DR NW,114,Fairburn Heights,H,33.7679,-84.50481
4115,BURGLARY-RESIDENCE,112960266,10/23/2011,735 WILLOUGHBY WAY NE,603,Old Fourth Ward,M,33.76373,-84.36319
4116,LARCENY-NON VEHICLE,112960280,10/23/2011,795 POLLARD BLVD SW ; COMFORT INN,304,Summerhill,V,33.73328,-84.391
4117,LARCENY-FROM VEHICLE,112960308,10/23/2011,6 13TH ST,503,Midtown,E,33.78572,-84.38782
4118,LARCENY-FROM VEHICLE,112960312,10/23/2011,850 OAK ST SW,401,West End,T,33.74057,-84.4168
4119,AGG ASSAULT,112960337,10/23/2011,1170 PEACHTREE ST NE,503,Midtown,E,33.78627,-84.38318
4120,LARCENY-FROM VEHICLE,112960377,10/23/2011,181 RALPH D ABERNATHY BLVD SW,303,Mechanicsville,V,33.7369,-84.39333
4121,BURGLARY-RESIDENCE,112960414,10/23/2011,3200 LENOX RD ,210,Pine Hills,B,33.84221,-84.35822
4122,BURGLARY-RESIDENCE,112960439,10/23/2011,1224 DEFOOR VILLAGE CT NW;,204,Underwood Hills,D,33.81005,-84.4277
